filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0003_R.wav,SAD,2.15,ACC,2.59,0.27,0.14,0.27,お願いします,,,,
0005_R.wav,SAD,2.15,SAD,0.55,0.62,0.39,0.43,(F (? あ))お疲れ様でした,0.35,0.25,0.16,2.04
0008_R.wav,ACC,0.12,ACC,0.85,0.53,0.53,0.53,そうですね初めは凄い緊張しました,0.09,0.14,0.1,0.3
0010_R.wav,SUR,-0.04,ACC,3.75,0.83,0.72,0.66,<笑>,0.3,0.19,0.13,2.9
0011_R.wav,ANT,1.58,ANT,0.88,0.64,0.59,0.57,けど私も(F あのー)例えば(D す)(F あのー)ここで録音している学会の(F あの)ビデオとか(D 見)見返してみても,0.19,0.13,0.09,2.87
0014_R.wav,JOY,-0.74,SUR,1.89,0.89,0.65,0.64,(F あ)私(D く)何でこんなこと言ってるんだろうと言うか,0.25,0.06,0.07,1.01
0016_R.wav,JOY,0.3,ACC,1.33,0.68,0.7,0.66,もう何か書き起こしてみるとむちゃくちゃな何か構文になってたり,0.21,0.05,0.02,0.56
0019_R.wav,ANT,1.08,ACC,3.34,0.62,0.66,0.62,それさっき言ったでしょうみたいなことおんなじこと繰り返してたりするので,0.06,0.04,0.04,2.01
0021_R.wav,ANT,1.1,ACC,2.27,0.75,0.72,0.68,多分さっきのでもそういうことがあったんじゃないかというような感じです,0.13,0.06,0.06,1.07
0024_R.wav,ANT,4.21,ACC,2.54,0.61,0.5,0.49,(F あ)そうでした,0.14,0.22,0.19,0.27
0026_R.wav,JOY,-0.13,SUR,1.77,0.91,0.78,0.74,(F あー)そうでした,0.3,0.28,0.25,0.77
0029_R.wav,JOY,1.66,SUR,2.77,0.66,0.5,0.48,(F あ)そうですか,0.25,0.28,0.26,1.0
0032_R.wav,ACC,2.86,SAD,2.58,0.38,0.36,0.36,(F うーん),0.28,0.14,0.12,0.19
0033_R.wav,ANT,2.97,ACC,2.92,0.59,0.53,0.52,そうそうそう(F その)そうなんですよだから本当自分の声聞く程恥ずかしいことは,0.21,0.17,0.16,0.34
0035_R.wav,ANT,4.21,SAD,1.51,0.48,0.27,0.37,ないんですけど,0.11,0.26,0.15,1.41
0037_R.wav,ACC,2.02,FEA,1.42,0.42,0.21,0.15,(F うん),0.06,0.06,0.22,0.09
0038_R.wav,SAD,1.8,ACC,3.06,0.33,0.06,0.1,(F うーん),0.09,0.15,0.05,1.64
0041_R.wav,ANT,2.38,ACC,1.98,0.54,0.55,0.53,(F うーん)初め何か人生を振り返って印象に残ったことって言われてそんな,0.21,0.49,0.43,1.08
0043_R.wav,ACC,1.15,JOY,4.19,0.53,0.52,0.47,印象に(D た),0.01,0.03,0.06,2.21
0044_R.wav,DIS,1.97,FEA,0.09,0.49,0.52,0.49,多分(F あのー)多分ポイントポイントを話した方がいいんだろうなとは思ったんですけど,0.04,0.0,0.02,4.1
0046_R.wav,JOY,1.72,ACC,1.77,0.63,0.62,0.6,何かちょっと(F お)話して面白いことの方がいいのかなっていうのも一つ,0.14,0.1,0.11,1.68
0049_R.wav,JOY,3.32,DIS,3.56,0.49,0.68,0.62,あってで(F あの)ここから依頼された(R ××)さんからは,0.14,0.06,0.02,1.79
0051_R.wav,ANT,1.38,ACC,3.0,0.72,0.63,0.6,(F んー)例えば私が母になったこととかそういう(F うー)タイトルとか例えばで貰ってたんですけど(F うーん)じゃちょっとそれ以外で行こうとか,0.23,0.05,0.02,0.56
0055_R.wav,FEA,1.5,ACC,2.03,0.89,0.8,0.75,<笑>,0.17,0.17,0.15,0.97
0057_R.wav,FEA,3.95,FEA,2.22,0.57,0.56,0.45,<笑>,0.32,0.24,0.3,0.19
0059_R.wav,SAD,3.05,ACC,1.9,0.41,0.13,0.22,そうですねそんな感じのことです,0.16,0.43,0.23,0.32
0061_R.wav,ACC,1.81,ACC,3.75,0.61,0.36,0.41,(F うーん)(F まー)そうです,0.2,0.23,0.19,1.85
0065_R.wav,SAD,2.74,ACC,0.63,0.42,0.33,0.34,(F はい),0.19,0.03,0.07,3.12
0067_R.wav,ACC,2.67,ACC,2.31,0.51,0.56,0.56,(F あー)やっぱりそうですね(F あのー),0.09,0.23,0.22,1.68
0068_R.wav,SAD,1.36,ANG,0.7,0.48,0.43,0.42,私,0.03,0.13,0.14,1.61
0069_R.wav,ANT,2.94,JOY,0.48,0.49,0.41,0.45,大学院の頃は,0.01,0.02,0.03,0.22
0070_R.wav,ANT,0.56,JOY,1.37,0.55,0.43,0.47,同じ研究室の中に私みたいに,0.06,0.02,0.02,0.89
0071_R.wav,ACC,1.64,ACC,0.96,0.33,0.32,0.38,(F あのー)(F (? ん))(F (? ん))第二言語習得の時の音声の獲得とかって(F ま)知覚発話みたいなことをやっているグループと,0.22,0.11,0.09,0.41
0074_R.wav,ANT,-0.04,ANT,0.96,0.39,0.37,0.41,もう一つ発達の(F その)赤ちゃんの言葉の獲得をやってるグループが,0.06,0.05,0.03,0.0
0076_R.wav,ACC,1.77,SUR,-0.2,0.52,0.51,0.52,あって(F ま),0.13,0.14,0.11,1.16
0077_R.wav,ANT,0.44,ANT,0.29,0.36,0.57,0.58,結局は(F その)私みたいな第二言語習得の時の言葉の音声の獲得みたいなことをやっていても最終的には(F そのー)(D い),0.16,0.06,0.06,0.49
0079_R.wav,ANT,1.8,ACC,0.36,0.54,0.42,0.45,母語の獲得に繋がっていくところがあるんで,0.18,0.15,0.13,0.07
0082_R.wav,ACC,2.47,ACC,1.66,0.34,0.5,0.52,(F ええ)あるんですけども(F ま),0.2,0.08,0.07,1.3
0083_R.wav,ANT,2.67,ACC,0.96,0.46,0.47,0.41,それで,0.12,0.03,0.11,0.7
0084_R.wav,ACC,1.86,SUR,1.89,0.4,0.48,0.51,(F えー)発達に関しても(F まー)何となく,0.06,0.01,0.1,0.93
0086_R.wav,ACC,1.96,ANG,-1.08,0.4,0.42,0.44,(F うー)聞いていたので知識はあったから,0.0,0.06,0.07,2.97
0089_R.wav,ANT,0.58,ANT,0.13,0.61,0.43,0.47,(F まー)自分の(D こゆい)子供を振り返ってみても色々と(F あー)やっぱりここはこうだとかそういうことはありましたし(D ん),0.21,0.01,0.03,1.21
0093_R.wav,ANT,1.03,ANT,0.31,0.55,0.6,0.58,そうですね逆に何だろう私(F その)宮崎から来ているので(F あの)言葉のアクセントとかも時々実は間違えるんですね,0.06,0.17,0.11,0.18
0096_R.wav,ACC,-0.88,ACC,4.71,0.74,0.63,0.58,<笑>,0.19,0.03,0.0,4.4
0097_R.wav,ANT,3.37,SUR,2.48,0.47,0.68,0.61,でやっぱりそうでしょう,0.27,0.05,0.03,2.23
0099_R.wav,SAD,2.44,ACC,0.99,0.63,0.53,0.5,そうそうそうなんですやっぱり(F ん)何か間違えるんですねよく,0.16,0.15,0.11,1.49
0101_R.wav,ANT,5.2,ANT,1.35,0.38,0.52,0.36,で(F い)(F (? ん)),0.25,0.01,0.14,0.36
0102_R.wav,ANT,3.25,ACC,2.19,0.43,0.45,0.45,(F あのー)例えば,0.05,0.07,0.09,0.84
