filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0012_L.wav,ACC,3.89,DIS,5.48,0.36,0.19,0.2,(F うーん),0.3,0.46,0.37,3.14
0050_L.wav,SUR,2.87,ACC,6.53,0.39,0.35,0.35,(F ええ)(F ええ),0.01,0.17,0.17,4.12
0092_L.wav,JOY,-0.12,ACC,0.65,0.46,0.55,0.55,逆にこう気になっちゃうとか,0.11,0.31,0.25,3.25
0094_L.wav,ACC,3.64,ACC,4.89,0.43,0.37,0.36,(F うーん),0.03,0.18,0.19,4.24
0127_L.wav,FEA,3.34,ACC,5.18,0.46,0.41,0.41,(F うん)(F うん)(F うん)(F うん),0.1,0.02,0.01,3.22
0130_L.wav,ANT,0.22,FEA,0.85,0.14,0.24,0.2,(D2 お),0.26,0.04,0.01,5.13
0144_L.wav,ACC,4.86,ACC,4.69,0.4,0.09,0.14,(F うーん),0.06,0.29,0.26,4.03
0159_L.wav,ANG,2.61,ANT,-0.4,0.37,0.62,0.6,じゃ最近のはやりじゃないですか,0.05,0.22,0.18,4.86
0169_L.wav,ACC,4.98,DIS,4.5,0.24,-0.01,0.07,(F うーん),0.38,0.43,0.37,3.16
0217_L.wav,ACC,4.43,DIS,3.81,0.29,-0.04,0.09,(F うーん)そうですか,0.02,0.09,0.09,3.68
0228_L.wav,ACC,2.95,DIS,5.23,0.35,0.3,0.26,(F うーん),0.19,0.27,0.31,3.84
0230_L.wav,ANT,1.38,SUR,0.77,0.81,0.65,0.6,(F はい)(F はい)(F はい)(F はい),0.46,0.35,0.34,4.46
0238_L.wav,ACC,5.08,ACC,4.56,0.37,0.17,0.18,(F うーん),0.1,0.04,0.02,4.25
0242_L.wav,ANT,2.88,ACC,3.03,0.46,0.62,0.67,そうですよ,0.02,0.18,0.25,2.97
0246_L.wav,SUR,2.85,ACC,1.64,0.37,0.28,0.32,(F へー),0.01,0.08,0.09,3.04
0256_L.wav,JOY,1.18,SUR,4.12,0.9,0.8,0.76,<笑>,0.44,0.65,0.51,4.06
0274_L.wav,SAD,3.84,SAD,4.68,0.32,0.19,0.2,(F うーん),0.11,0.04,0.04,3.16
0276_L.wav,SAD,2.61,ACC,1.24,0.54,0.29,0.34,そっかそっか一緒に住んでらっしゃるんですか,0.22,0.1,0.14,3.44
0292_L.wav,SAD,1.64,SAD,-0.87,0.34,0.4,0.41,(D とぅ),0.23,0.09,0.05,3.06
0293_L.wav,FEA,2.35,DIS,2.71,0.49,0.35,0.41,そうかうちの姉の子供も六か月なのにもう,0.15,0.05,0.0,3.58
0316_L.wav,ANT,4.19,FEA,-0.4,0.57,0.48,0.47,っていうような,0.29,0.23,0.19,3.21
0318_L.wav,SAD,3.41,ACC,4.45,0.29,0.15,0.24,感じですよね,0.55,0.49,0.37,3.38
0339_L.wav,FEA,4.29,ACC,6.05,0.4,0.08,0.16,そうですよね,0.11,0.43,0.33,4.36
0349_L.wav,SAD,1.84,ANG,1.0,0.57,0.62,0.62,ねそれに自分の御両親が近くにいないから,0.28,0.71,0.53,3.44
0357_L.wav,ACC,4.61,ACC,4.52,0.36,0.0,0.09,(F うーん),0.05,0.56,0.46,4.15
0361_L.wav,ANT,1.86,SUR,1.57,0.53,0.34,0.39,(F あー)向こうが,0.13,0.13,0.11,3.27
0374_L.wav,ACC,5.91,ACC,5.9,0.85,0.72,0.65,そうですね,0.43,0.37,0.34,3.45
0377_L.wav,ANT,0.78,ANG,0.85,0.18,0.29,0.39,また大変でしょう小学校入ったら入ったでねきっとね,0.67,0.43,0.26,5.05
0383_L.wav,JOY,0.6,FEA,1.58,0.7,0.47,0.52,こうお母さん守ってくれるから,0.34,0.19,0.22,2.91
0409_L.wav,SAD,5.8,DIS,4.87,0.28,0.17,0.21,(F うーん),0.15,0.44,0.38,4.27
0410_L.wav,ANG,3.03,FEA,1.62,0.68,0.73,0.7,何か今までのこう経緯が全部,0.4,0.56,0.49,3.25
0417_L.wav,ANG,1.26,SUR,0.23,0.57,0.52,0.53,だって無駄なことがない,0.11,0.11,0.04,3.31
0434_L.wav,ACC,3.88,ACC,5.43,0.34,0.06,0.12,(F うーん),0.13,0.29,0.29,4.49
0455_L.wav,FEA,2.05,ACC,0.36,0.27,0.15,0.26,なるほど,0.02,0.02,0.08,3.21
0461_L.wav,FEA,2.54,ACC,3.88,0.51,0.19,0.27,何か(F うーん)ありますね,0.24,0.04,0.01,3.52
0469_L.wav,DIS,4.31,SAD,0.45,0.38,0.29,0.38,でも凄い,0.33,0.21,0.17,3.29
0479_L.wav,ANT,2.97,ACC,5.59,0.35,0.11,0.16,(F ええ),0.28,0.3,0.31,4.31
0482_L.wav,SAD,2.3,SUR,-0.37,0.46,0.48,0.52,西に多いんですか,0.11,0.37,0.36,5.96
0495_L.wav,FEA,0.43,SAD,0.35,0.39,0.25,0.32,(F あ)そうなんだ,0.03,0.04,0.03,3.43
0515_L.wav,FEA,1.48,FEA,-0.36,0.45,0.24,0.3,じゃちょっとまた色々,0.2,0.04,0.02,3.64
