filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0001_L.wav,DIS,3.49,ACC,3.85,0.41,0.32,0.39,お願いします,,,,
0004_L.wav,ANT,2.11,JOY,2.29,0.52,0.39,0.4,今日はお疲れ様でした,0.11,0.07,0.01,1.56
0006_L.wav,ANT,2.27,ANT,0.76,0.3,0.36,0.4,どうでしたか,0.22,0.03,0.0,1.53
0007_L.wav,ACC,2.04,ACC,1.98,0.64,0.41,0.46,緊張します,0.34,0.05,0.06,1.22
0009_L.wav,FEA,1.88,SUR,2.34,0.66,0.65,0.57,<笑>,0.02,0.24,0.11,0.36
0012_L.wav,ACC,3.89,DIS,5.48,0.36,0.19,0.2,(F うーん),0.3,0.46,0.37,3.14
0013_L.wav,ACC,3.36,ACC,5.7,0.33,0.16,0.14,(F あ)(F うん)(F うん),0.03,0.03,0.06,0.22
0015_L.wav,SUR,1.17,SUR,2.85,0.88,0.77,0.74,<笑>,0.55,0.61,0.6,2.85
0017_L.wav,SUR,2.43,ACC,2.98,0.91,0.79,0.73,<笑>,0.03,0.02,0.01,0.13
0018_L.wav,FEA,0.9,SAD,2.33,0.86,0.76,0.72,<笑>,0.05,0.03,0.01,0.65
0020_L.wav,SAD,4.55,SAD,3.52,0.33,0.35,0.38,あれね,0.53,0.41,0.34,1.19
0022_L.wav,SUR,1.47,SUR,3.88,0.85,0.8,0.76,<笑>,0.52,0.45,0.38,0.36
0023_L.wav,ANT,3.01,JOY,2.08,0.48,0.63,0.64,(F いや)さっきのは結構スムーズに,0.37,0.17,0.12,1.8
0025_L.wav,JOY,2.74,JOY,0.02,0.42,0.55,0.54,(F ええ)かなり流れが,0.06,0.08,0.1,2.06
0027_L.wav,ANT,2.31,JOY,0.86,0.35,0.28,0.26,よく,0.07,0.27,0.28,0.84
0028_L.wav,SAD,2.03,FEA,2.28,0.29,0.34,0.38,まとまってたと思いますけど,0.06,0.06,0.12,1.42
0030_L.wav,ANT,3.32,ANT,2.05,0.42,0.72,0.65,(F えー)でも人間の言葉って不思議ですよね通じてるんだけど後で聞くと,0.13,0.38,0.27,0.23
0031_L.wav,JOY,3.33,JOY,3.32,0.75,0.72,0.66,とんでもないものいっぱいありますよね,0.33,0.0,0.01,1.27
0034_L.wav,FEA,2.32,JOY,3.91,0.26,0.11,0.18,(F あー)本当本当,0.49,0.61,0.48,0.59
0036_L.wav,SAD,4.82,SAD,4.89,0.37,0.16,0.24,本当ですね,0.11,0.05,0.06,0.98
0039_L.wav,FEA,4.69,FEA,2.29,0.3,0.41,0.44,このテーマ,0.07,0.25,0.2,2.6
0040_L.wav,ANT,2.44,SUR,2.48,0.45,0.53,0.55,私が研究をっていうのはなぜこのテーマにしたんですか,0.15,0.12,0.11,0.19
0042_L.wav,SAD,4.73,ACC,4.67,0.35,0.14,0.17,(F うん)(F うん)(F うん),0.1,0.39,0.38,2.19
0045_L.wav,SAD,4.7,ACC,4.4,0.36,0.2,0.21,(F うーん),0.01,0.06,0.04,0.27
0047_L.wav,FEA,4.4,SUR,2.53,0.86,0.8,0.74,<笑>,0.5,0.6,0.53,1.87
0048_L.wav,ACC,2.1,ACC,2.41,0.4,0.52,0.52,なるほど,0.46,0.28,0.22,0.12
0050_L.wav,SUR,2.87,ACC,6.53,0.39,0.35,0.35,(F ええ)(F ええ),0.01,0.17,0.17,4.12
0052_L.wav,DIS,3.49,DIS,5.22,0.4,0.34,0.31,(F あー),0.01,0.01,0.04,1.31
0053_L.wav,ACC,3.75,ACC,6.3,0.4,0.23,0.22,(F うん)(F うん)(F うん),0.0,0.11,0.09,1.08
0054_L.wav,ACC,1.19,SUR,5.58,0.96,0.91,0.85,<笑>,0.56,0.68,0.63,0.72
0056_L.wav,ANT,4.18,JOY,3.68,0.52,0.62,0.61,裏をかいたんですね,0.44,0.29,0.24,1.9
0058_L.wav,SAD,3.97,SAD,4.27,0.39,0.21,0.28,なるほどねそうですか,0.13,0.41,0.33,0.59
0060_L.wav,FEA,1.34,SAD,2.52,0.51,0.28,0.37,お母さんなんですもんね,0.12,0.07,0.09,1.75
0062_L.wav,ACC,3.74,ACC,1.49,0.28,0.6,0.57,(F その)何か,0.23,0.32,0.2,1.03
0063_L.wav,ANT,3.19,ACC,1.79,0.43,0.47,0.47,<FV>(F まー)音声学とか言語とかやってらっしゃってこう子供が,0.15,0.13,0.1,0.3
0064_L.wav,ANG,2.42,FEA,0.97,0.41,0.44,0.48,発達って言うか大きくなる上でだんだんだんだん言葉を覚えていくじゃないですか,0.02,0.03,0.01,0.82
0066_L.wav,JOY,1.11,ACC,2.81,0.66,0.53,0.52,そういう時何かこう役に立ったこととかありますか,0.25,0.09,0.04,1.84
0072_L.wav,ACC,4.23,DIS,4.27,0.39,0.11,0.14,(F うーん),0.27,0.42,0.38,1.46
0073_L.wav,ACC,3.66,SAD,4.34,0.38,0.15,0.17,(F うーん),0.01,0.04,0.03,0.07
0075_L.wav,SAD,2.78,SUR,4.08,0.44,0.28,0.32,(F えー),0.06,0.13,0.15,0.26
0078_L.wav,SAD,3.38,SUR,3.86,0.38,0.27,0.31,(F ええ),0.06,0.01,0.01,0.22
0080_L.wav,SAD,4.78,DIS,4.41,0.39,0.22,0.24,(F うーん),0.01,0.05,0.07,0.55
0081_L.wav,SAD,3.25,FEA,3.73,0.37,0.18,0.21,(F ふーん),0.02,0.04,0.03,0.68
0085_L.wav,SAD,4.27,ACC,3.61,0.33,0.05,0.08,(F うーん),0.04,0.13,0.13,0.12
0087_L.wav,ACC,3.94,ACC,4.2,0.36,0.18,0.19,(F うーん),0.03,0.13,0.11,0.59
0088_L.wav,ACC,4.52,ACC,4.0,0.4,0.18,0.21,(F うーん),0.04,0.0,0.02,0.2
0090_L.wav,ACC,3.86,ACC,4.46,0.39,0.14,0.17,(F うーん),0.01,0.04,0.04,0.46
0091_L.wav,DIS,3.97,DIS,3.9,0.35,0.24,0.3,(F あー),0.04,0.1,0.13,0.56
0092_L.wav,JOY,-0.12,ACC,0.65,0.46,0.55,0.55,逆にこう気になっちゃうとか,0.11,0.31,0.25,3.25
0094_L.wav,ACC,3.64,ACC,4.89,0.43,0.37,0.36,(F うーん),0.03,0.18,0.19,4.24
0095_L.wav,ANG,2.83,ANG,2.52,0.31,0.57,0.54,(F ふーん)何かさっきちらっと私(D お)関西かな,0.12,0.2,0.18,2.37
0098_L.wav,ANT,0.9,FEA,2.91,0.3,0.01,0.13,と思ったんですけど,0.01,0.56,0.41,0.39
0100_L.wav,ACC,4.51,DIS,3.94,0.4,0.15,0.19,(F うーん),0.1,0.14,0.06,1.03
0105_L.wav,ANT,2.89,ACC,4.93,0.33,0.18,0.22,(F ええ),0.07,0.03,0.03,0.99
0106_L.wav,FEA,0.4,FEA,3.24,0.48,0.23,0.33,(F へー)例えばどういう名前,0.15,0.05,0.11,1.69
0112_L.wav,DIS,3.84,DIS,4.33,0.32,0.12,0.2,(F あー),0.16,0.11,0.13,1.09
0114_L.wav,SAD,3.46,SAD,4.24,0.36,0.26,0.29,(F ふーん)(F あー),0.04,0.14,0.09,0.09
0116_L.wav,SUR,0.4,SUR,3.54,0.94,0.84,0.81,<笑>,0.58,0.58,0.52,0.7
0119_L.wav,JOY,4.3,ANG,2.89,0.76,0.54,0.54,漫才じゃないんだからって感じですね,0.18,0.3,0.27,0.65
0120_L.wav,FEA,4.4,SUR,1.99,0.98,0.87,0.81,<笑>,0.22,0.33,0.27,0.9
0122_L.wav,SAD,3.01,FEA,2.32,0.37,0.18,0.23,(F へー),0.61,0.69,0.58,0.33
0124_L.wav,JOY,2.61,ACC,1.96,0.56,0.43,0.4,(F あー)そうなんだ,0.19,0.25,0.17,0.36
0127_L.wav,FEA,3.34,ACC,5.18,0.46,0.41,0.41,(F うん)(F うん)(F うん)(F うん),0.1,0.02,0.01,3.22
0128_L.wav,ACC,4.87,ACC,5.98,0.4,0.2,0.19,(F うーん),0.06,0.21,0.22,0.8
0130_L.wav,ANT,0.22,FEA,0.85,0.14,0.24,0.2,(D2 お),0.26,0.04,0.01,5.13
0131_L.wav,JOY,1.57,ACC,2.6,0.67,0.58,0.54,お母さん違うよと,0.53,0.34,0.34,1.75
0132_L.wav,SAD,1.37,SAD,2.45,0.44,0.53,0.53,おかしい,0.23,0.05,0.01,0.15
0134_L.wav,FEA,2.14,SUR,2.29,0.98,0.85,0.81,<笑>,0.54,0.32,0.28,0.16
0135_L.wav,SAD,4.86,ACC,1.84,0.35,0.02,0.15,そうなんだ,0.63,0.83,0.66,0.45
0137_L.wav,SUR,1.31,SUR,1.64,0.61,0.64,0.57,(F え),0.26,0.62,0.42,0.2
0138_L.wav,ANG,3.25,SUR,0.45,0.4,0.55,0.53,関西,0.21,0.09,0.04,1.19
0139_L.wav,ANG,3.82,ANG,1.63,0.59,0.57,0.57,(D ん)弁に近いんですか,0.19,0.02,0.04,1.18
0141_L.wav,ANT,4.64,ANG,0.66,0.46,0.38,0.4,独自,0.13,0.19,0.17,0.97
0144_L.wav,ACC,4.86,ACC,4.69,0.4,0.09,0.14,(F うーん),0.06,0.29,0.26,4.03
0148_L.wav,ACC,5.52,ACC,5.67,0.55,0.3,0.32,(F うん)(F うん)(F うん),0.15,0.21,0.18,0.98
0152_L.wav,ACC,5.2,ACC,4.7,0.35,0.25,0.28,(F ええ),0.2,0.05,0.04,0.97
0155_L.wav,SAD,4.11,ACC,4.46,0.42,0.4,0.42,(F あー)(F あー),0.07,0.15,0.14,0.24
0159_L.wav,ANG,2.61,ANT,-0.4,0.37,0.62,0.6,じゃ最近のはやりじゃないですか,0.05,0.22,0.18,4.86
0161_L.wav,SUR,0.57,SUR,1.68,0.86,0.7,0.68,<笑>,0.49,0.08,0.08,2.08
0162_L.wav,SAD,1.93,SUR,0.91,0.42,0.5,0.48,先行ってたんだ,0.44,0.2,0.2,0.77
0165_L.wav,SAD,2.25,FEA,0.45,0.45,0.42,0.43,凄い,0.03,0.08,0.05,0.46
0166_L.wav,SAD,2.55,DIS,1.34,0.62,0.42,0.44,(F あ)そうなんだ,0.17,0.0,0.01,0.89
0169_L.wav,ACC,4.98,DIS,4.5,0.24,-0.01,0.07,(F うーん),0.38,0.43,0.37,3.16
0172_L.wav,ACC,4.97,ACC,4.23,0.32,0.07,0.1,(F うーん),0.08,0.08,0.03,0.27
0174_L.wav,SAD,2.63,SAD,5.84,0.33,0.11,0.18,(F ふーん)面白い,0.01,0.04,0.08,1.61
0177_L.wav,ACC,5.31,ACC,4.09,0.39,0.13,0.13,(F うん),0.06,0.02,0.05,1.75
0179_L.wav,FEA,2.39,FEA,3.51,0.44,0.31,0.34,(F へー)(F え)例えば,0.05,0.18,0.21,0.58
0185_L.wav,SAD,4.82,DIS,3.92,0.32,0.16,0.2,(F ええ),0.12,0.15,0.14,0.41
0187_L.wav,FEA,1.56,FEA,2.21,0.27,0.07,0.15,(F へー)面白い,0.05,0.09,0.05,1.71
